name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Ashland Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,
Ashland University,Ohio,OH,Private,4 Year,9941,21342,31283,21342,31283,,,,,,
Ashworth College,Georgia,GA,For Profit,2 Year,,1399,1399,1399,1399,,,,,,
Asnuntuck Community College,Connecticut,CT,Public,2 Year,,4404,4404,13170,13170,,,,,,
Assumption College,Massachusetts,MA,Private,4 Year,12694,40958,53652,40958,53652,,,,,,
Assumption College for Sisters,New Jersey,NJ,Private,2 Year,,5888,5888,5888,5888,,,,,,
Athens State University,Alabama,AL,Public,4 Year,,6810,6810,12870,12870,15,Alabama,45000,78800,51,9
Athens Technical College,Georgia,GA,Public,2 Year,,3292,3292,5962,5962,,,,,,
Atlanta Metropolitan State College,Georgia,GA,Public,2 Year,,4008,4008,12088,12088,,,,,,
Atlanta Technical College,Georgia,GA,Public,2 Year,,3350,3350,6020,6020,,,,,,
Atlantic Cape Community College,New Jersey,NJ,Public,2 Year,,5096,5096,8096,8096,,,,,,
Atlantic University College,,PR,Private,4 Year,,4525,4525,4525,4525,,,,,,
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856,1,Alabama,54400,104500,51,31
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028,13,Alabama,45000,79600,61,12
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080,12,Minnesota,50500,91000,52,11
Augusta Technical College,Georgia,GA,Public,2 Year,,3494,3494,6164,6164,,,,,,
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436,13,Georgia,47000,84400,69,10
Augustana College,Illinois,IL,Private,4 Year,10572,42135,52707,42135,52707,,,,,,
Augustana University,South Dakota,SD,Private,4 Year,8248,33018,41266,33018,41266,3,South-Dakota,47900,88400,54,18
Aultman College of Nursing and Health Sciences,Ohio,OH,Private,2 Year,,18510,18510,18510,18510,,,,,,
Aurora University,Illinois,IL,Private,4 Year,11700,24260,35960,24260,35960,,,,,,
Austin College,Texas,TX,Private,4 Year,12527,39985,52512,39985,52512,,,,,,
Austin Community College,Texas,TX,Public,2 Year,,2550,2550,13020,13020,,,,,,
Austin Graduate School of Theology,Texas,TX,Private,4 Year,,11900,11900,11900,11900,,,,,,
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167,20,Tennessee,44200,78200,63,10
Ave Maria University,Florida,FL,Private,4 Year,11436,20850,32286,20850,32286,,,,,,
Averett University,Virginia,VA,Private,4 Year,9976,34400,44376,34400,44376,,,,,,
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100,17,Missouri,45900,81200,68,3
Azusa Pacific University,California,CA,Private,4 Year,10076,38880,48956,38880,48956,,,,,,
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416,4,Massachusetts,72000,133800,37,0
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240,10,Kansas,47800,84200,55,2
Bakersfield College,California,CA,Public,2 Year,,1418,1418,7838,7838,,,,,,
Baldwin Wallace University,Ohio,OH,Private,4 Year,9554,32586,42140,32586,42140,,,,,,
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702,22,Indiana,45600,83700,48,7
Baltimore City Community College,Maryland,MD,Public,2 Year,,2893,2893,6973,6973,,,,,,
Baptist Bible College,Missouri,MO,Private,4 Year,7500,14150,21650,14150,21650,,,,,,
Baptist College of Florida,Florida,FL,Private,4 Year,4612,12300,16912,12300,16912,,,,,,
Baptist College of Health Sciences,Tennessee,TN,Private,4 Year,2900,14700,17600,14700,17600,,,,,,
Baptist Missionary Association Theological Seminary,Texas,TX,Private,4 Year,3150,6690,9840,6690,9840,,,,,,
Baptist University of the Americas,Texas,TX,Private,4 Year,2500,7800,10300,7800,10300,,,,,,
Barclay College,Kansas,KS,Private,4 Year,9300,19690,28990,19690,28990,,,,,,
Bard College,New York,NY,Private,4 Year,15488,54680,70168,54680,70168,,,,,,
Bard College at Simon's Rock,Massachusetts,MA,Private,4 Year,14916,55732,70648,55732,70648,,,,,,
Barnard College,New York,NY,Private,4 Year,17225,55032,72257,55032,72257,19,New-York,59200,109800,57,19
Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950,24,Florida,47400,84400,66,12
Barstow Community College,California,CA,Public,2 Year,,1391,1391,9131,9131,,,,,,
Barton College,North Carolina,NC,Private,4 Year,10120,30880,41000,30880,41000,24,North-Carolina,42400,77900,62,6
Barton County Community College,Kansas,KS,Public,2 Year,5794,3440,9234,3440,9234,,,,,,
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756,22,Washington,48400,86300,,0
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018,3,Maine,59500,111900,50,23
Bates Technical College,Washington,WA,Public,2 Year,,4783,4783,10214,10214,,,,,,
Baton Rouge Community College,Louisiana,LA,Public,2 Year,,3981,3981,8059,8059,,,,,,
Bay College,Michigan,MI,Public,2 Year,3200,4830,8030,8910,12110,,,,,,
Bay Mills Community College,Michigan,MI,Public,2 Year,,3250,3250,3250,3250,,,,,,
Bay Path University,Massachusetts,MA,Private,4 Year,12799,34225,47024,34225,47024,,,,,,
Bay State College,Massachusetts,MA,For Profit,2 Year,13300,27750,41050,27750,41050,,,,,,
Bayamon Central University,,PR,Private,4 Year,,5775,5775,5775,5775,,,,,,
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322,12,Texas,55500,101400,49,16
Beacon College,Florida,FL,Private,4 Year,11390,39016,50406,39016,50406,,,,,,
Beaufort County Community College,North Carolina,NC,Public,2 Year,,2344,2344,8104,8104,,,,,,
Becker College,Massachusetts,MA,Private,4 Year,13800,39200,53000,39200,53000,,,,,,
Beckfield College,Kentucky,KY,For Profit,4 Year,,4000,4000,4000,4000,,,,,,
Beis Medrash Heichal Dovid,New York,NY,Private,4 Year,4500,9500,14000,9500,14000,,,,,,
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800,7,Mississippi,41200,74300,60,2
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450,3,Kentucky,49000,90700,54,11
Bellevue College,Washington,WA,Public,2 Year,,4258,4258,9689,9689,18,Washington,50100,88500,56,14
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120,10,Nebraska,49400,84800,57,23
Bellin College,Wisconsin,WI,Private,4 Year,,22178,22178,22178,22178,6,Wisconsin,55800,97600,94,0
Bellingham Technical College,Washington,WA,Public,2 Year,,2790,2790,3460,3460,,,,,,
Belmont Abbey College,North Carolina,NC,Private,4 Year,10355,18500,28855,18500,28855,14,North-Carolina,46700,82900,49,7
Belmont College,Ohio,OH,Public,2 Year,,4973,4973,8070,8070,,,,,,
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430,17,Tennessee,47300,80900,47,3
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870,17,Wisconsin,47400,85700,59,24
Bemidji State University,Minnesota,MN,Public,4 Year,8408,8696,17104,8696,17104,,,,,,
Benedict College,South Carolina,SC,Private,4 Year,6200,16600,22800,16600,22800,24,South-Carolina,38100,67500,61,19
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830,3,Kansas,48700,91800,69,13
Benedictine University,Illinois,IL,Private,4 Year,9480,34290,43770,34290,43770,,,,,,
Benjamin Franklin Institute of Technology,Massachusetts,MA,Private,2 Year,12400,18690,31090,18690,31090,,,,,,
Bennett College for Women,North Carolina,NC,Private,4 Year,8114,18513,26627,18513,26627,,,,,,
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970,6,Vermont,48800,90000,50,5
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200,9,Massachusetts,66600,116600,36,7
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754,19,Kentucky,39500,71600,53,27
Bergen Community College,New Jersey,NJ,Public,2 Year,,5610,5610,10650,10650,,,,,,
Bergin University of Canine Studies,California,CA,Private,4 Year,,9450,9450,9450,9450,,,,,,
Berkeley City College,California,CA,Public,2 Year,,1432,1432,9622,9622,,,,,,
Berklee College of Music,Massachusetts,MA,Private,4 Year,18180,42750,60930,42750,60930,,,,,,
Berkshire Community College,Massachusetts,MA,Public,2 Year,,8569,8569,15589,15589,,,,,,
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326,12,Georgia,44900,84900,44,21
Beth Hatalmud Rabbinical College,New York,NY,Private,4 Year,,11750,11750,11750,11750,,,,,,
Beth Medrash Govoha,New Jersey,NJ,Private,4 Year,4172,21388,25560,21388,25560,,,,,,
Bethany College,Kansas,KS,Private,4 Year,10605,28475,39080,28475,39080,,,,,,
Bethany College,West Virginia,WV,Private,4 Year,10580,29773,40353,29773,40353,,,,,,
Bethany Lutheran College,Minnesota,MN,Private,4 Year,8100,27650,35750,27650,35750,,,,,,
Bethel College,Indiana,IN,Private,4 Year,9000,28590,37590,28590,37590,,,,,,
Bethel College,Kansas,KS,Private,4 Year,8850,28780,37630,28780,37630,,,,,,
Bethel University,Tennessee,TN,Private,4 Year,9198,16552,25750,16552,25750,,,,,,
Bethel University,Minnesota,MN,Private,4 Year,10520,37300,47820,37300,47820,,,,,,
Bethesda University of California,California,CA,Private,4 Year,,8350,8350,8350,8350,,,,,,
Bethune-Cookman University,Florida,FL,Private,4 Year,9412,14814,24226,14814,24226,,,,,,
Beulah Heights University,Georgia,GA,Private,4 Year,6000,9880,15880,9880,15880,,,,,,
Beverly Hills Design Institute,California,CA,Private,4 Year,,31060,31060,31060,31060,,,,,,
Bevill State Community College,Alabama,AL,Public,2 Year,1300,4770,6070,8640,9940,,,,,,
Big Bend Community College,Washington,WA,Public,2 Year,3537,4272,7809,9703,13240,,,,,,
Big Sandy Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,
Biola University,California,CA,Private,4 Year,10730,40488,51218,40488,51218,,,,,,
Birmingham-Southern College,Alabama,AL,Private,4 Year,12350,17650,30000,17650,30000,,,,,,
Bishop State Community College,Alabama,AL,Public,2 Year,,4740,4740,8610,8610,,,,,,
Bismarck State College,North Dakota,ND,Public,2 Year,7794,4790,12584,6785,14579,,,,,,
Black Hawk College,Illinois,IL,Public,2 Year,,4470,4470,7650,7650,,,,,,
Black Hills State University,South Dakota,SD,Public,4 Year,6978,8733,15711,11778,18756,10,South-Dakota,40400,72600,51,11
Black River Technical College,Arkansas,AR,Public,2 Year,,3660,3660,6510,6510,,,,,,
Blackburn College,Illinois,IL,Private,4 Year,7930,22410,30340,22410,30340,,,,,,
Blackfeet Community College,Montana,MT,Public,2 Year,6787,3590,10377,3590,10377,,,,,,
Blackhawk Technical College,Wisconsin,WI,Public,2 Year,,4340,4340,6623,6623,,,,,,
Bladen Community College,North Carolina,NC,Public,2 Year,,2528,2528,8672,8672,,,,,,
Blessing-Rieman College of Nursing & Health Sciences,Illinois,IL,Private,4 Year,,25250,25250,25250,25250,,,,,,
Blinn College,Texas,TX,Public,2 Year,8103,3540,11643,10050,18153,,,,,,
Bloomfield College,New Jersey,NJ,Private,4 Year,11950,29550,41500,29550,41500,23,New-Jersey,48400,89100,55,17
Bloomsburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,9686,10958,20644,22532,32218,,,,,,
Blue Mountain College,Mississippi,MS,Private,4 Year,6294,12584,18878,12584,18878,,,,,,
Blue Mountain Community College,Oregon,OR,Public,2 Year,,6188,6188,15908,15908,,,,,,
Blue Ridge Community and Technical College,West Virginia,WV,Public,2 Year,,4128,4128,7464,7464,,,,,,
Blue Ridge Community College,North Carolina,NC,Public,2 Year,,2365,2365,8125,8125,,,,,,
Blue Ridge Community College,Virginia,VA,Public,2 Year,,5364,5364,11292,11292,,,,,,
Bluefield College,Virginia,VA,Private,4 Year,9024,25290,34314,25290,34314,,,,,,
Bluefield State College,West Virginia,WV,Public,4 Year,,8820,8820,16920,16920,15,West-Virginia,43200,72800,60,3
Bluegrass Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,
Bluffton University,Ohio,OH,Private,4 Year,10800,32766,43566,32766,43566,,,,,,
Bob Jones University,South Carolina,SC,Private,4 Year,6976,18150,25126,18150,25126,,,,,,
Boise Bible College,Idaho,ID,Private,4 Year,6200,12520,18720,12520,18720,,,,,,
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468,4,Idaho,50100,86400,55,14
Bolivar Technical College,Missouri,MO,Private,2 Year,,18292,18292,18292,18292,,,,,,
Boricua College,New York,NY,Private,4 Year,,11025,11025,11025,11025,,,,,,
Bossier Parish Community College,Louisiana,LA,Public,2 Year,,4283,4283,8960,8960,,,,,,
Boston Architectural College,Massachusetts,MA,Private,4 Year,13280,21894,35174,21894,35174,,,,,,
Boston Baptist College,Massachusetts,MA,Private,4 Year,7810,12600,20410,12600,20410,,,,,,
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942,11,Massachusetts,63600,115400,43,13
Boston Conservatory at Berklee,Massachusetts,MA,Private,4 Year,18360,46020,64380,46020,64380,,,,,,
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668,13,Massachusetts,61400,113600,43,25
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620,2,Maine,61300,112000,54,37
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777,18,Maryland,50300,89900,65,11
Bowling Green State University,Ohio,OH,Public,4 Year,9168,11105,20273,19093,28261,,,,,,
Bowling Green State University: Firelands College,Ohio,OH,Public,2 Year,,4912,4912,12901,12901,,,,,,
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380,6,Illinois,55600,104900,46,38
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835,14,Massachusetts,60600,113200,48,29
Brandman University,California,CA,Private,4 Year,,15380,15380,15380,15380,,,,,,
Brazosport College,Texas,TX,Public,2 Year,,2715,2715,5355,5355,,,,,,
Brenau University,Georgia,GA,Private,4 Year,12418,29050,41468,29050,41468,,,,,,
Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600,10,Kentucky,44300,81200,53,7
Brevard College,North Carolina,NC,Private,4 Year,9900,29350,39250,29350,39250,,,,,,
Brewton-Parker College,Georgia,GA,Private,4 Year,7850,18690,26540,18690,26540,,,,,,
Briar Cliff University,Iowa,IA,Private,4 Year,9020,31964,40984,31964,40984,,,,,,
BridgeValley Community and Technical College,West Virginia,WV,Public,2 Year,,5460,5460,13020,13020,,,,,,
Bridgewater College,Virginia,VA,Private,4 Year,12720,35160,47880,35160,47880,,,,,,
Bridgewater State University,Massachusetts,MA,Public,4 Year,13090,10367,23457,16507,29597,,,,,,
Brigham Young University,Utah,UT,Private,4 Year,7628,5620,13248,5620,13248,,,,,,
Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,6586,5560,12146,5560,12146,1,Hawaii,51700,93900,57,12
Brigham Young University-Idaho,Idaho,ID,Private,4 Year,4592,4118,8710,4118,8710,2,Idaho,53700,93500,59,14
Bristol Community College,Massachusetts,MA,Public,2 Year,,5970,5970,12150,12150,,,,,,
Brookdale Community College,New Jersey,NJ,Public,2 Year,,5216,5216,9281,9281,,,,,,
Brookhaven College,Texas,TX,Public,2 Year,,1770,1770,5220,5220,,,,,,
Broome Community College,New York,NY,Public,2 Year,11818,5482,17300,10210,22028,,,,,,
Broward College,Florida,FL,Public,2 Year,,3540,3540,11190,11190,,,,,,
Brown University,Rhode Island,RI,Private,4 Year,14670,55656,70326,55656,70326,1,Rhode-Island,68200,127600,45,43
Brunswick Community College,North Carolina,NC,Public,2 Year,,2380,2380,8140,8140,,,,,,
Bryan College of Health Sciences,Nebraska,NE,Private,4 Year,,18270,18270,18270,18270,,,,,,
Bryan College: Dayton,Tennessee,TN,Private,4 Year,7500,26800,34300,26800,34300,,,,,,
Bryan University: Rogers,Arkansas,AR,For Profit,2 Year,,10230,10230,10230,10230,,,,,,
Bryant University,Rhode Island,RI,Private,4 Year,15702,43973,59675,43973,59675,2,Rhode-Island,60500,108600,37,8
Bryn Athyn College,Pennsylvania,PA,Private,4 Year,11886,22815,34701,22815,34701,,,,,,
Bryn Mawr College,Pennsylvania,PA,Private,4 Year,16500,52360,68860,52360,68860,,,,,,
Bucknell University,Pennsylvania,PA,Private,4 Year,13662,56092,69754,56092,69754,5,Pennsylvania,66700,122900,40,40
Bucks County Community College,Pennsylvania,PA,Public,2 Year,1500,5660,7160,14660,16160,,,,,,
Buena Vista University,Iowa,IA,Private,4 Year,9538,34004,43542,34004,43542,,,,,,
Bunker Hill Community College,Massachusetts,MA,Public,2 Year,,5580,5580,11760,11760,,,,,,
Butler Community College,Kansas,KS,Public,2 Year,5950,3180,9130,5310,11260,,,,,,
Butler County Community College,Pennsylvania,PA,Public,2 Year,,4950,4950,10950,10950,,,,,,
Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950,7,Indiana,51800,99300,53,9
Butte College,California,CA,Public,2 Year,,1498,1498,8518,8518,,,,,,
Cabarrus College of Health Sciences,North Carolina,NC,Private,4 Year,,13194,13194,13194,13194,,,,,,
Cabrillo College,California,CA,Public,2 Year,,1500,1500,9300,9300,,,,,,
Cabrini University,Pennsylvania,PA,Private,4 Year,12266,31920,44186,31920,44186,,,,,,
Cairn University,Pennsylvania,PA,Private,4 Year,10294,27279,37573,27279,37573,,,,,,
Caldwell Community College and Technical Institute,North Carolina,NC,Public,2 Year,,2356,2356,8116,8116,,,,,,
Caldwell University,New Jersey,NJ,Private,4 Year,12025,34715,46740,34715,46740,,,,,,
Calhoun Community College,Alabama,AL,Public,2 Year,,4840,4840,8690,8690,,,,,,
California Baptist University,California,CA,Private,4 Year,12160,33478,45638,33478,45638,,,,,,
California Christian College,California,CA,Private,4 Year,4950,9570,14520,9570,14520,,,,,,
California Coast University,California,CA,For Profit,4 Year,,4500,4500,4500,4500,,,,,,
California College of the Arts,California,CA,Private,4 Year,10136,49138,59274,49138,59274,,,,,,
California Institute of Integral Studies,California,CA,Private,4 Year,,20230,20230,20230,20230,,,,,,
California Institute of Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887,3,California,84100,151600,53,97
California Institute of the Arts,California,CA,Private,4 Year,12069,49276,61345,49276,61345,,,,,,
California Lutheran University,California,CA,Private,4 Year,13779,42693,56472,42693,56472,,,,,,
California Maritime Academy,California,CA,Public,4 Year,12576,7135,19711,13273,25849,,,,,,
California Miramar University,California,CA,Private,4 Year,,12180,12180,12180,12180,,,,,,
California Northstate University College of Health Sciences,California,CA,Private,4 Year,,32500,32500,32500,32500,,,,,,
California Polytechnic State University: San Luis Obispo,California,CA,Public,4 Year,13796,9816,23612,21696,35492,,,,,,
California State Polytechnic University: Pomona,California,CA,Public,4 Year,17358,7353,24711,19233,36591,,,,,,
California State University: Bakersfield,California,CA,Public,4 Year,13746,7147,20893,19027,32773,,,,,,
California State University: Channel Islands,California,CA,Public,4 Year,16954,6817,23771,18697,35651,,,,,,
California State University: Chico,California,CA,Public,4 Year,12980,7618,20598,17122,30102,,,,,,
California State University: Dominguez Hills,California,CA,Public,4 Year,12540,6837,19377,18717,31257,,,,,,
California State University: East Bay,California,CA,Public,4 Year,13980,6834,20814,18714,32694,,,,,,
California State University: Fresno,California,CA,Public,4 Year,10587,6585,17172,18465,29052,,,,,,
California State University: Fullerton,California,CA,Public,4 Year,15898,6870,22768,18750,34648,,,,,,
California State University: Long Beach,California,CA,Public,4 Year,13312,6798,20110,18678,31990,,,,,,
California State University: Los Angeles,California,CA,Public,4 Year,13407,6639,20046,18519,31926,,,,,,
