id,group_random,group_random_dummy,Y0,Y1
5268,control,0,7,9
5269,treatment,1,7,8.2
5270,control,0,10,12.2
5271,treatment,1,4,7
5272,control,0,10,11
5273,control,0,3,5.2
5274,control,0,10,11.2
5275,control,0,4,5
5276,control,0,1,3
5277,treatment,1,10,13.2
5278,control,0,1,2
5279,treatment,1,2,4
5280,treatment,1,4,6
5281,treatment,1,3,4
5282,treatment,1,2,5.2
5283,treatment,1,3,6.2
5284,control,0,3,5
5285,treatment,1,6,8.2
5286,control,0,3,4
5287,control,0,4,7.2
5288,control,0,6,7.2
5289,treatment,1,5,6
5290,control,0,9,10.2
5291,treatment,1,11,14.2
5292,treatment,1,7,10.2
5293,treatment,1,4,5.2
5294,treatment,1,8,10.2
5295,control,0,11,14.2
5296,control,0,2,3
5297,control,0,7,10.2
5298,treatment,1,3,4.2
5299,control,0,8,11.2
5300,treatment,1,11,12.2
5301,treatment,1,1,4
5302,treatment,1,10,11.2
5303,control,0,4,5.2
5304,control,0,3,4
5305,treatment,1,8,9
5306,treatment,1,6,9
5307,control,0,1,4
5308,control,0,7,8
5309,treatment,1,6,9
5310,control,0,5,6
5311,treatment,1,4,7.2
5312,control,0,7,8
5313,control,0,7,8
5314,treatment,1,5,7
5315,control,0,6,7.2
5316,control,0,9,10.2
5317,treatment,1,2,5
5318,control,0,5,6.2
5319,treatment,1,4,7
5320,control,0,2,5
5321,control,0,9,12.2
5322,treatment,1,11,13.2
5323,treatment,1,8,10
5324,control,0,6,8.2
5325,control,0,9,10
5326,treatment,1,2,4.2
5327,control,0,8,10
5328,treatment,1,2,5.2
5329,control,0,10,12.2
5330,treatment,1,6,8
5331,treatment,1,8,10.2
5332,control,0,10,13.2
5333,treatment,1,4,5.2
5334,treatment,1,9,10
5335,treatment,1,3,5
5336,treatment,1,10,12.2
5337,control,0,5,6
5338,treatment,1,7,8.2
5339,treatment,1,7,9.2
5340,control,0,4,7.2
5341,control,0,10,13.2
5342,control,0,7,9
5343,control,0,8,11.2
5344,treatment,1,10,11
5345,treatment,1,8,11.2
5346,control,0,8,9.2
5347,treatment,1,4,6.2
5348,control,0,10,11
5349,treatment,1,7,10
5350,control,0,6,7
5351,control,0,2,3
5352,control,0,3,5
5353,control,0,3,6
5354,control,0,7,10.2
5355,control,0,8,10.2
5356,treatment,1,4,7.2
5357,control,0,3,6.2
5358,control,0,1,2
5359,control,0,7,8.2
5360,treatment,1,4,6.2
5361,control,0,2,5.2
5362,control,0,10,12
5363,control,0,10,13.2
5364,treatment,1,6,9
5365,control,0,8,11.2
5366,control,0,1,4
5367,treatment,1,3,5.2
5368,treatment,1,7,8
5369,control,0,9,11
5370,treatment,1,3,5
5371,treatment,1,2,5.2
5372,treatment,1,3,6
5373,treatment,1,7,10
5374,control,0,7,9
5375,control,0,9,12.2
5376,control,0,6,9.2
5377,treatment,1,2,3.2
5378,treatment,1,4,6
5379,treatment,1,7,8
5380,control,0,3,4
5381,treatment,1,2,4
5382,control,0,3,6
5383,treatment,1,8,10
5384,treatment,1,7,8
5385,control,0,10,13.2
5386,treatment,1,7,9.2
5387,treatment,1,6,9.2
5388,control,0,4,6
5389,control,0,8,11.2
5390,treatment,1,5,6
5391,treatment,1,5,8
5392,treatment,1,9,12.2
5393,control,0,5,7.2
5394,control,0,10,11
5395,control,0,6,7
5396,control,0,4,6.2
5397,control,0,9,11.2
5398,treatment,1,6,9.2
5399,treatment,1,4,6
5400,control,0,8,11
5401,treatment,1,10,13
5402,control,0,2,5.2
5403,treatment,1,8,9.2
5404,control,0,3,6
5405,control,0,1,4
5406,control,0,1,4
5407,treatment,1,8,9
5408,control,0,1,2
5409,control,0,5,7.2
5410,control,0,8,9.2
5411,control,0,2,4.2
5412,control,0,2,4.2
5413,treatment,1,7,10.2
5414,control,0,6,7
5415,control,0,1,4
5416,treatment,1,3,4.2
5417,control,0,5,8.2
5418,treatment,1,3,5
5419,control,0,8,10.2
5420,control,0,8,11.2
5421,control,0,10,12
5422,treatment,1,6,8
5423,control,0,7,8.2
5424,treatment,1,6,8
5425,control,0,7,9
5426,treatment,1,5,6.2
5427,treatment,1,8,9.2
5428,treatment,1,6,8
5429,control,0,5,7
5430,control,0,4,5
5431,control,0,7,8.2
5432,treatment,1,7,9.2
5433,treatment,1,3,4.2
5434,treatment,1,10,12
5435,treatment,1,7,8.2
5436,treatment,1,1,3
5437,treatment,1,5,7
5438,control,0,9,12
5439,control,0,5,8
5440,treatment,1,2,4
5441,control,0,7,8
5442,control,0,9,10.2
5443,control,0,10,11
5444,control,0,6,9.2
5445,treatment,1,4,7.2
5446,treatment,1,7,9
5447,treatment,1,10,12
5448,treatment,1,4,6
5449,control,0,8,10.2
5450,treatment,1,6,7
5451,control,0,6,8.2
5452,treatment,1,5,6
5453,treatment,1,5,8.2
5454,treatment,1,2,5.2
5455,treatment,1,7,8.2
5456,treatment,1,2,4.2
5457,treatment,1,6,9
5458,control,0,3,5
5459,control,0,2,5
5460,treatment,1,9,11
5461,treatment,1,3,6.2
5462,treatment,1,3,4
5463,control,0,8,10.2
5464,treatment,1,6,9
5465,treatment,1,8,9
5466,treatment,1,5,8
5467,control,0,7,10.2
5468,treatment,1,6,7.2
5469,treatment,1,5,6
5470,treatment,1,3,4
5471,control,0,1,3
5472,control,0,2,3.2
5473,control,0,6,9
5474,treatment,1,10,13.2
5475,treatment,1,7,9.2
5476,control,0,10,13.2
5477,treatment,1,2,4.2
5478,treatment,1,4,6
5479,control,0,8,9
5480,control,0,7,9.2
5481,treatment,1,10,13
5482,treatment,1,8,9.2
5483,treatment,1,9,11.2
5484,treatment,1,3,5
5485,control,0,7,9
5486,treatment,1,3,4
5487,control,0,9,11
5488,control,0,8,9.2
5489,treatment,1,9,12
5490,treatment,1,9,12.2
5491,treatment,1,2,4
5492,treatment,1,1,4
5493,control,0,8,9.2
5494,treatment,1,2,3.2
5495,control,0,4,5.2
5496,treatment,1,6,8.2
5497,treatment,1,1,4
5498,control,0,10,12.2
5499,treatment,1,3,6
5500,treatment,1,8,9
5501,treatment,1,4,6
5502,control,0,7,8
5503,treatment,1,9,11
5504,control,0,2,3
5505,treatment,1,2,5.2
5506,treatment,1,5,6
5507,control,0,8,11.2
5508,treatment,1,2,4
5509,control,0,6,9
5510,treatment,1,6,8.2
5511,control,0,3,6
5512,treatment,1,3,6
5513,treatment,1,3,5
5514,treatment,1,6,8.2
5515,treatment,1,11,13.2
5516,control,0,4,6.2
5517,treatment,1,6,8.2
5518,treatment,1,9,10
5519,treatment,1,4,7.2
5520,treatment,1,5,7
5521,treatment,1,7,9.2
5522,treatment,1,1,2
5523,control,0,4,7.2
5524,control,0,8,9
5525,control,0,6,9
5526,control,0,5,8.2
5527,control,0,2,5.2
5528,control,0,1,2
5529,treatment,1,4,5
5530,control,0,10,13.2
5531,treatment,1,5,6
5532,treatment,1,8,11.2
5533,treatment,1,8,11
5534,control,0,5,7.2
5535,control,0,8,9.2
5536,control,0,6,9.2
5537,control,0,2,5.2
5538,treatment,1,11,13.2
5539,treatment,1,1,2
5540,treatment,1,9,11.2
5541,control,0,7,8.2
5542,treatment,1,10,13.2
5543,treatment,1,7,9.2
5544,control,0,10,12.2
5545,control,0,1,4
5546,treatment,1,6,7.2
5547,treatment,1,7,8
5548,control,0,9,10.2
5549,treatment,1,2,5.2
5550,control,0,9,11
5551,control,0,5,7.2
5552,treatment,1,3,4.2
5553,treatment,1,4,6
5554,treatment,1,8,10
5555,control,0,5,8.2
5556,treatment,1,4,5.2
5557,treatment,1,9,12
5558,control,0,9,11.2
5559,control,0,3,6.2
5560,treatment,1,2,3
5561,treatment,1,3,6.2
5562,control,0,9,10.2
5563,treatment,1,5,8.2
5564,control,0,9,12
5565,treatment,1,4,6
5566,treatment,1,9,11
5567,treatment,1,8,10
5568,control,0,1,4
5569,control,0,8,10.2
5570,treatment,1,3,5.2
5571,control,0,1,3
5572,control,0,5,8.2
5573,control,0,7,10.2
5574,control,0,4,7
5575,control,0,10,13.2
5576,control,0,4,5.2
5577,treatment,1,1,3
5578,treatment,1,6,7.2
5579,treatment,1,6,8.2
5580,control,0,9,11
5581,control,0,7,8
5582,treatment,1,10,11.2
5583,treatment,1,5,8.2
5584,control,0,9,11
5585,control,0,6,9.2
5586,treatment,1,7,10
5587,control,0,8,11.2
5588,control,0,2,4.2
5589,control,0,10,12.2
5590,control,0,2,5
5591,control,0,7,10
5592,control,0,2,5
5593,treatment,1,6,7.2
5594,control,0,3,5
5595,control,0,8,11.2
5596,treatment,1,6,9
5597,control,0,7,9.2
5598,treatment,1,6,8.2
5599,control,0,8,10
5600,control,0,8,10
5601,control,0,1,4
5602,control,0,3,4
5603,treatment,1,2,3.2
5604,control,0,6,7.2
5605,treatment,1,10,13.2
5606,control,0,5,8
5607,treatment,1,7,10
5608,control,0,2,4
5609,control,0,8,9.2
5610,treatment,1,3,6.2
5611,control,0,4,7
5612,treatment,1,10,11
5613,treatment,1,11,14.2
5614,control,0,5,6.2
5615,treatment,1,3,6
5616,control,0,4,7
5617,treatment,1,7,9.2
5618,treatment,1,7,10.2
5619,control,0,10,12.2
5620,control,0,10,13
5621,treatment,1,11,14.2
5622,treatment,1,1,2
5623,control,0,3,6.2
5624,control,0,4,5.2
5625,control,0,11,14.2
5626,control,0,4,5
5627,control,0,3,4.2
5628,treatment,1,2,4.2
5629,control,0,11,13.2
5630,control,0,7,9.2
5631,treatment,1,10,12
5632,treatment,1,5,7
5633,treatment,1,3,4
5634,control,0,6,8
5635,treatment,1,6,8
5636,treatment,1,2,3
5637,control,0,8,9.2
5638,treatment,1,9,10
5639,treatment,1,9,12
5640,control,0,1,2
5641,control,0,8,10
5642,treatment,1,6,9.2
5643,treatment,1,2,4.2
5644,treatment,1,9,10
5645,treatment,1,2,3
5646,treatment,1,8,9
5647,treatment,1,10,12
5648,control,0,7,10.2
5649,treatment,1,9,12
5650,treatment,1,10,12
5651,control,0,5,7.2
5652,control,0,7,8.2
5653,treatment,1,10,11.2
5654,control,0,6,8.2
5655,control,0,5,7.2
5656,control,0,7,8
5657,control,0,8,9.2
5658,treatment,1,3,4.2
5659,treatment,1,5,8.2
5660,control,0,4,5
5661,treatment,1,6,8.2
5662,treatment,1,8,11
5663,control,0,7,9
5664,control,0,3,6
5665,treatment,1,9,11.2
5666,treatment,1,4,5.2
5667,control,0,7,10
5668,control,0,9,10.2
5669,treatment,1,4,5
5670,treatment,1,5,8
5671,treatment,1,4,7
5672,treatment,1,4,7.2
5673,control,0,10,12
5674,control,0,3,5.2
5675,control,0,2,5
5676,control,0,4,5.2
5677,treatment,1,9,10.2
5678,control,0,2,5
5679,control,0,6,7
5680,control,0,8,11.2
5681,treatment,1,6,7.2
5682,treatment,1,5,7.2
5683,control,0,3,6.2
5684,treatment,1,6,7
5685,control,0,7,10.2
5686,treatment,1,6,8
5687,treatment,1,7,10
5688,treatment,1,5,7.2
5689,control,0,4,6
5690,control,0,4,6.2
5691,treatment,1,1,2
5692,control,0,4,7.2
5693,control,0,4,7.2
5694,control,0,7,9.2
5695,treatment,1,4,6.2
5696,control,0,4,7.2
5697,control,0,7,10.2
5698,control,0,9,11.2
5699,control,0,10,13.2
5700,treatment,1,5,8
5701,treatment,1,5,7
5702,treatment,1,4,5.2
5703,control,0,4,5
5704,treatment,1,8,10.2
5705,treatment,1,10,11.2
5706,treatment,1,7,10.2
5707,control,0,4,6
5708,treatment,1,8,11
5709,control,0,6,9.2
5710,control,0,7,10
5711,control,0,6,7.2
5712,control,0,9,10
5713,control,0,4,6.2
5714,treatment,1,4,7.2
5715,control,0,10,11
5716,treatment,1,9,12.2
5717,control,0,5,7.2
5718,control,0,5,8.2
5719,control,0,8,9.2
5720,control,0,4,6.2
5721,treatment,1,2,3
5722,control,0,10,12
5723,treatment,1,1,4
5724,treatment,1,5,7
5725,treatment,1,4,6.2
5726,control,0,9,12.2
5727,treatment,1,2,5.2
5728,treatment,1,6,9
5729,control,0,3,6.2
5730,treatment,1,3,6
5731,treatment,1,8,9
5732,control,0,5,8.2
5733,treatment,1,6,9
5734,control,0,9,12
5735,treatment,1,6,8
5736,control,0,2,5
5737,control,0,3,6.2
5738,treatment,1,6,9.2
5739,treatment,1,9,11
5740,treatment,1,3,6.2
5741,treatment,1,9,10
5742,control,0,8,9
5743,treatment,1,10,11.2
5744,control,0,7,9.2
5745,control,0,2,5
5746,treatment,1,11,14.2
5747,control,0,8,10.2
5748,control,0,8,11
5749,control,0,2,3
5750,control,0,5,7
5751,control,0,3,4
5752,control,0,7,8
5753,treatment,1,9,10
5754,control,0,2,4.2
5755,control,0,7,8.2
5756,treatment,1,5,6.2
5757,treatment,1,3,6.2
5758,treatment,1,4,5
5759,control,0,7,9
5760,control,0,3,5.2
5761,treatment,1,8,11.2
5762,control,0,2,3.2
5763,treatment,1,4,7.2
5764,treatment,1,4,5.2
5765,treatment,1,5,6.2
5766,control,0,11,13.2
5767,treatment,1,10,11
5768,treatment,1,7,8.2
5769,control,0,8,10.2
5770,treatment,1,6,7
5771,treatment,1,10,13.2
5772,control,0,4,5.2
5773,control,0,3,5
5774,control,0,8,9.2
5775,treatment,1,1,4
5776,control,0,10,11
5777,treatment,1,10,12
5778,control,0,2,5.2
5779,treatment,1,4,7.2
5780,control,0,9,11.2
5781,control,0,2,4.2
5782,control,0,4,5
5783,control,0,8,9
5784,treatment,1,2,5
5785,control,0,5,7
5786,control,0,3,6.2
5787,treatment,1,4,6.2
5788,control,0,8,9.2
5789,treatment,1,2,4
5790,treatment,1,9,11.2
5791,treatment,1,10,11.2
5792,treatment,1,3,4.2
5793,treatment,1,7,10.2
5794,control,0,4,7.2
5795,control,0,5,7.2
5796,treatment,1,4,5.2
5797,treatment,1,7,10.2
5798,treatment,1,4,5
5799,treatment,1,2,4
5800,treatment,1,6,9
5801,treatment,1,1,4
5802,treatment,1,7,8.2
5803,treatment,1,7,9.2
5804,treatment,1,5,6.2
5805,treatment,1,6,8
5806,treatment,1,10,11
5807,treatment,1,3,6.2
5808,treatment,1,8,9.2
5809,control,0,3,4
5810,treatment,1,8,11
5811,treatment,1,4,6
5812,control,0,4,6.2
5813,treatment,1,3,6
5814,control,0,7,8.2
5815,treatment,1,4,7
5816,control,0,3,4
5817,control,0,6,9
5818,treatment,1,8,11
5819,treatment,1,9,10
5820,control,0,4,7
5821,treatment,1,8,11
5822,treatment,1,8,10
5823,control,0,9,11.2
5824,treatment,1,8,11.2
5825,control,0,6,8
5826,treatment,1,11,14.2
5827,treatment,1,4,7
5828,control,0,11,14.2
5829,control,0,6,7
5830,treatment,1,9,10
5831,control,0,7,10
5832,control,0,9,10
5833,control,0,5,7.2
5834,control,0,3,4.2
5835,control,0,6,9.2
5836,control,0,2,3.2
5837,control,0,5,7
5838,treatment,1,5,7
5839,treatment,1,7,9
5840,control,0,9,12
5841,treatment,1,2,5.2
5842,treatment,1,2,4
5843,control,0,4,5
5844,treatment,1,7,10
5845,treatment,1,2,4
5846,control,0,6,8
5847,treatment,1,2,5.2
5848,treatment,1,10,13
5849,treatment,1,8,9
5850,control,0,5,8.2
5851,treatment,1,6,7
5852,control,0,8,10
5853,control,0,9,10.2
5854,control,0,7,8
5855,treatment,1,2,3.2
5856,treatment,1,6,7
5857,treatment,1,3,6
5858,control,0,11,13.2
5859,control,0,5,7
5860,treatment,1,1,2
5861,treatment,1,7,9
5862,control,0,6,7.2
5863,control,0,7,10.2
5864,treatment,1,10,13
5865,treatment,1,3,4.2
5866,control,0,10,12.2
5867,treatment,1,9,10.2
5868,control,0,10,12.2
5869,control,0,6,8.2
5870,treatment,1,4,6.2
5871,treatment,1,3,5.2
5872,control,0,10,12
5873,control,0,7,9
5874,control,0,8,11
5875,treatment,1,2,5
5876,treatment,1,2,4
5877,treatment,1,6,8.2
5878,treatment,1,6,7
5879,treatment,1,6,9
5880,control,0,10,13
5881,treatment,1,7,9
5882,treatment,1,1,2
5883,control,0,6,9.2
5884,treatment,1,11,13.2
5885,control,0,11,14.2
5886,control,0,8,10.2
5887,treatment,1,6,7
5888,treatment,1,5,7.2
5889,control,0,11,14.2
5890,treatment,1,11,14.2
5891,control,0,5,6.2
5892,treatment,1,7,9
5893,control,0,7,9
5894,control,0,9,10.2
5895,control,0,7,10.2
5896,control,0,4,6
5897,treatment,1,6,7
5898,treatment,1,11,12.2
5899,control,0,10,13.2
5900,treatment,1,2,4.2
5901,control,0,9,11.2
5902,treatment,1,3,4.2
5903,control,0,2,3.2
5904,treatment,1,6,7.2
5905,treatment,1,5,7.2
5906,control,0,3,4.2
5907,treatment,1,4,5
5908,treatment,1,9,11.2
5909,control,0,2,4.2
5910,treatment,1,10,12
5911,treatment,1,3,5
5912,control,0,9,12.2
5913,treatment,1,4,6
5914,treatment,1,6,9.2
5915,control,0,3,6.2
5916,control,0,8,11.2
5917,control,0,2,5
5918,treatment,1,10,11.2
5919,treatment,1,11,12.2
5920,control,0,5,7.2
5921,treatment,1,5,6
5922,treatment,1,8,11.2
5923,control,0,6,9.2
5924,treatment,1,10,13.2
5925,control,0,7,9.2
5926,treatment,1,5,7
5927,treatment,1,5,6
5928,treatment,1,4,6.2
5929,control,0,8,11
5930,treatment,1,6,9.2
5931,treatment,1,3,4
5932,treatment,1,4,7
5933,control,0,9,10
5934,control,0,1,4
5935,control,0,8,11.2
5936,treatment,1,10,13.2
5937,control,0,8,11
5938,treatment,1,9,10.2
5939,control,0,8,9
5940,control,0,6,9
5941,control,0,7,8
5942,treatment,1,9,11
5943,treatment,1,3,6.2
5944,treatment,1,5,7.2
5945,control,0,6,8.2
5946,control,0,9,12.2
5947,control,0,3,4
5948,treatment,1,2,5.2
5949,control,0,10,11
5950,control,0,1,4
5951,control,0,10,11.2
5952,control,0,2,5.2
5953,treatment,1,6,8.2
5954,treatment,1,7,8
5955,control,0,6,7
5956,control,0,4,5
5957,treatment,1,3,5
5958,treatment,1,5,8
5959,control,0,9,12
5960,control,0,9,12.2
5961,control,0,9,12.2
5962,treatment,1,3,4
5963,control,0,1,2
5964,treatment,1,8,10
5965,control,0,7,8
5966,treatment,1,5,8.2
5967,control,0,10,11.2
5968,treatment,1,4,7
5969,treatment,1,11,14.2
5970,control,0,10,12
5971,treatment,1,3,4
5972,treatment,1,3,4.2
5973,control,0,6,8.2
5974,control,0,7,8
5975,treatment,1,4,5.2
5976,treatment,1,7,8
5977,control,0,2,5.2
5978,control,0,4,6.2
5979,control,0,5,7.2
5980,treatment,1,1,2
5981,treatment,1,2,3
5982,control,0,11,12.2
5983,treatment,1,8,9.2
5984,control,0,4,5.2
5985,treatment,1,3,6.2
5986,control,0,3,4
5987,treatment,1,6,9.2
5988,treatment,1,5,8.2
5989,control,0,6,7.2
5990,control,0,7,10.2
5991,treatment,1,8,9
5992,control,0,6,7
5993,treatment,1,9,12
5994,treatment,1,6,9
5995,control,0,11,14.2
5996,treatment,1,1,4
5997,treatment,1,10,13.2
5998,treatment,1,8,11
5999,treatment,1,5,6.2
6000,treatment,1,9,12.2
6001,control,0,8,10.2
6002,treatment,1,2,5
6003,treatment,1,7,8
6004,treatment,1,10,13.2
6005,control,0,1,4
6006,control,0,11,13.2
6007,control,0,5,8.2
6008,control,0,3,6.2
6009,treatment,1,2,3.2
6010,control,0,5,8.2
6011,treatment,1,7,8.2
6012,control,0,9,11.2
6013,control,0,9,10.2
6014,control,0,3,6.2
6015,control,0,3,4
6016,control,0,8,11
6017,treatment,1,3,4.2
6018,treatment,1,10,12.2
6019,control,0,3,5.2
6020,treatment,1,7,10
6021,treatment,1,6,9.2
6022,treatment,1,11,13.2
6023,treatment,1,5,7
6024,control,0,1,2
6025,control,0,6,8.2
6026,control,0,10,11
6027,treatment,1,4,7
6028,treatment,1,4,6.2
6029,control,0,9,12.2
6030,treatment,1,2,5
6031,treatment,1,10,11.2
6032,treatment,1,10,12.2
6033,treatment,1,5,6.2
6034,control,0,10,11
6035,control,0,10,13
6036,control,0,6,8.2
6037,treatment,1,3,6
6038,control,0,1,2
6039,control,0,7,10
6040,treatment,1,7,8.2
6041,treatment,1,8,9.2
6042,treatment,1,11,14.2
6043,control,0,5,8.2
6044,treatment,1,6,7.2
6045,control,0,11,13.2
6046,treatment,1,9,12.2
6047,treatment,1,10,13.2
6048,control,0,6,8
6049,control,0,4,6.2
6050,treatment,1,6,8
6051,control,0,7,10.2
6052,treatment,1,4,6.2
6053,control,0,5,7.2
6054,treatment,1,7,8
6055,control,0,11,12.2
6056,control,0,3,4
6057,treatment,1,5,7
6058,treatment,1,11,12.2
6059,control,0,2,4
6060,treatment,1,2,5
6061,treatment,1,11,13.2
6062,control,0,6,8.2
6063,control,0,6,9.2
6064,treatment,1,6,7
6065,control,0,7,9.2
6066,control,0,5,6
6067,control,0,8,10.2
6068,treatment,1,2,5
6069,control,0,2,4
6070,treatment,1,9,12
6071,control,0,7,9
6072,control,0,2,4
6073,treatment,1,3,5
6074,treatment,1,6,8
6075,treatment,1,5,8
6076,treatment,1,2,5.2
6077,control,0,7,10
6078,treatment,1,6,8.2
6079,control,0,5,7.2
6080,treatment,1,1,4
6081,control,0,6,7
6082,control,0,10,13.2
6083,treatment,1,5,8.2
6084,treatment,1,6,7.2
6085,treatment,1,4,5
6086,treatment,1,2,3.2
6087,control,0,10,13
6088,control,0,6,9.2
6089,treatment,1,9,10
6090,treatment,1,4,5.2
6091,treatment,1,9,11.2
6092,control,0,9,12
6093,treatment,1,9,10
6094,control,0,1,2
6095,control,0,4,7.2
6096,treatment,1,3,5.2
6097,treatment,1,5,6.2
6098,control,0,4,5
6099,control,0,5,6.2
6100,treatment,1,8,9.2
6101,treatment,1,7,9
6102,treatment,1,7,10.2
6103,treatment,1,2,3
6104,control,0,2,4
6105,control,0,8,9.2
6106,control,0,7,8.2
6107,control,0,4,7.2
6108,control,0,4,5.2
6109,control,0,8,11
6110,control,0,1,2
6111,treatment,1,4,5.2
6112,treatment,1,9,12.2
6113,treatment,1,4,5.2
6114,control,0,8,11.2
6115,treatment,1,2,3.2
6116,treatment,1,5,6
6117,control,0,9,10.2
6118,control,0,10,12.2
6119,treatment,1,11,14.2
6120,control,0,8,9
6121,treatment,1,8,10
6122,control,0,9,10.2
6123,treatment,1,6,7
6124,control,0,3,6
6125,treatment,1,3,6
6126,treatment,1,10,13.2
6127,control,0,1,4
6128,treatment,1,8,11
6129,treatment,1,3,6
6130,control,0,9,10.2
6131,treatment,1,7,10.2
6132,control,0,5,7.2
6133,control,0,8,11.2
6134,treatment,1,10,11
6135,control,0,7,10.2
6136,treatment,1,7,9.2
6137,treatment,1,11,13.2
6138,treatment,1,9,10.2
6139,treatment,1,11,12.2
6140,control,0,7,8
6141,control,0,7,9
6142,treatment,1,5,6
6143,treatment,1,4,6
6144,treatment,1,9,12
6145,treatment,1,10,11.2
6146,control,0,6,8.2
6147,control,0,3,5
6148,treatment,1,9,10.2
6149,treatment,1,6,8.2
6150,treatment,1,1,3
6151,treatment,1,3,6
6152,control,0,2,4.2
6153,treatment,1,7,8
6154,treatment,1,4,5
6155,control,0,8,11
6156,control,0,10,12
6157,control,0,2,3.2
6158,control,0,10,13.2
6159,control,0,10,12.2
6160,control,0,8,9
6161,control,0,4,5
6162,treatment,1,9,12
6163,control,0,8,9.2
6164,treatment,1,1,3
6165,control,0,9,11
6166,control,0,2,3
6167,treatment,1,3,5
6168,control,0,4,5.2
6169,treatment,1,6,7.2
6170,control,0,5,8.2
6171,control,0,7,8.2
6172,treatment,1,3,4
6173,treatment,1,3,4.2
6174,control,0,4,7
6175,control,0,9,10.2
6176,control,0,4,7.2
6177,treatment,1,6,9.2
6178,treatment,1,7,9.2
6179,treatment,1,3,6.2
6180,treatment,1,10,11
6181,treatment,1,5,7
6182,treatment,1,2,4
6183,control,0,8,10.2
6184,treatment,1,4,5
6185,treatment,1,6,8
6186,treatment,1,5,7.2
6187,control,0,1,3
6188,treatment,1,9,10.2
6189,treatment,1,10,13
6190,control,0,11,13.2
6191,treatment,1,5,8.2
6192,control,0,6,9
6193,control,0,1,2
6194,control,0,2,4.2
6195,control,0,3,4.2
6196,treatment,1,5,8.2
6197,treatment,1,5,6.2
6198,treatment,1,7,8.2
6199,control,0,10,13.2
6200,control,0,6,7.2
6201,control,0,10,12
6202,treatment,1,6,7.2
6203,control,0,5,8
6204,treatment,1,7,9
6205,control,0,11,12.2
6206,control,0,6,7.2
6207,control,0,7,10.2
6208,treatment,1,3,5
6209,treatment,1,5,7
6210,treatment,1,7,9.2
6211,control,0,3,5
6212,treatment,1,2,4.2
6213,treatment,1,8,11
6214,treatment,1,6,9
6215,control,0,6,7.2
6216,control,0,5,6.2
6217,control,0,1,3
6218,treatment,1,2,4
6219,control,0,3,4
6220,treatment,1,9,11
6221,control,0,5,8.2
6222,treatment,1,8,9.2
6223,treatment,1,2,4.2
6224,control,0,1,4
6225,treatment,1,9,10
6226,control,0,8,11
6227,treatment,1,3,5.2
6228,control,0,1,4
6229,control,0,2,3
6230,control,0,7,10
6231,control,0,6,9.2
6232,control,0,5,8
6233,control,0,8,10.2
6234,control,0,9,11
6235,treatment,1,6,8
6236,control,0,6,8
6237,treatment,1,6,7.2
6238,control,0,4,7.2
6239,control,0,8,11.2
6240,treatment,1,5,6
6241,treatment,1,11,13.2
6242,treatment,1,11,13.2
6243,treatment,1,1,3
6244,control,0,3,4
6245,control,0,3,4.2
6246,treatment,1,11,14.2
6247,control,0,1,2
6248,control,0,7,10
6249,treatment,1,3,5.2
6250,control,0,2,3.2
6251,treatment,1,9,10
6252,control,0,10,13
6253,treatment,1,11,12.2
6254,control,0,2,4
6255,treatment,1,4,5.2
6256,control,0,3,5
6257,control,0,6,7
6258,control,0,10,13
6259,treatment,1,1,4
6260,control,0,5,7
6261,control,0,11,13.2
6262,treatment,1,5,6
6263,control,0,8,10.2
6264,control,0,6,9.2
6265,treatment,1,9,10.2
6266,control,0,8,11
6267,control,0,11,14.2
6268,treatment,1,5,8
6269,control,0,10,11
6270,control,0,11,12.2
6271,treatment,1,7,9.2
6272,control,0,11,12.2
6273,control,0,9,12
6274,control,0,2,3.2
6275,control,0,5,8.2
6276,treatment,1,5,6
6277,control,0,10,12
6278,treatment,1,2,3
6279,control,0,5,7
6280,control,0,10,12
6281,control,0,5,6
6282,treatment,1,2,5.2
6283,control,0,4,6
6284,treatment,1,1,4
6285,treatment,1,8,11
6286,treatment,1,10,11
6287,treatment,1,6,8.2
6288,control,0,4,7
6289,treatment,1,2,5.2
6290,control,0,7,10.2
6291,control,0,7,8.2
6292,treatment,1,9,11
6293,treatment,1,9,10
6294,treatment,1,9,10
6295,control,0,8,11
6296,treatment,1,3,4
6297,treatment,1,5,7
6298,control,0,7,10.2
6299,control,0,5,7
6300,control,0,7,8.2
6301,treatment,1,3,4.2
6302,treatment,1,9,11.2
6303,treatment,1,2,3.2
6304,treatment,1,2,4
6305,control,0,9,12.2
6306,control,0,4,6
6307,treatment,1,7,10
6308,treatment,1,9,12.2
6309,treatment,1,7,9.2
6310,treatment,1,10,13
6311,control,0,9,11
6312,treatment,1,3,4
6313,control,0,4,5.2
6314,control,0,8,10.2
6315,control,0,8,11
6316,control,0,8,11.2
6317,control,0,6,9.2
6318,control,0,4,7.2
6319,treatment,1,5,7.2
6320,control,0,5,7.2
6321,treatment,1,5,8
6322,treatment,1,10,11.2
6323,treatment,1,5,8
6324,treatment,1,2,3.2
6325,treatment,1,5,7.2
6326,control,0,9,10
6327,treatment,1,6,9
6328,control,0,8,11
6329,treatment,1,7,10
6330,treatment,1,7,9.2
6331,control,0,3,4
6332,treatment,1,10,12.2
6333,control,0,6,8
6334,control,0,2,4.2
6335,control,0,4,7.2
6336,control,0,2,5
6337,control,0,3,4.2
6338,control,0,8,11.2
6339,treatment,1,11,12.2
