id,group,group_dummy,Y0,Y1
4929,control,0,6,9
4930,control,0,4,6
4931,control,0,9,12
4932,control,0,8,9
4933,treatment,1,7,9.2
4934,treatment,1,6,8.2
4935,treatment,1,6,7.2
4936,treatment,1,2,3.2
4937,treatment,1,5,6.2
4938,treatment,1,10,13.2
4939,treatment,1,6,8.2
4940,control,0,3,6
4941,treatment,1,4,6.2
4942,treatment,1,7,8.2
4943,control,0,7,10
4944,control,0,10,12
4945,control,0,5,7
4946,control,0,10,11
4947,treatment,1,3,6.2
4948,treatment,1,5,7.2
4949,treatment,1,5,8.2
4950,treatment,1,9,12.2
4951,control,0,9,11
4952,treatment,1,7,9.2
4953,control,0,8,11
4954,control,0,4,5
4955,control,0,4,7
4956,treatment,1,4,6.2
4957,control,0,4,5
4958,treatment,1,6,8.2
4959,control,0,1,2
4960,treatment,1,5,8.2
4961,control,0,4,7
4962,treatment,1,3,4.2
4963,control,0,7,8
4964,treatment,1,2,5.2
4965,treatment,1,5,6.2
4966,control,0,4,5
4967,treatment,1,10,12.2
4968,control,0,1,4
4969,treatment,1,8,10.2
4970,control,0,3,5
4971,control,0,9,12
4972,control,0,10,11
4973,control,0,9,10
4974,treatment,1,2,5.2
4975,control,0,3,5
4976,treatment,1,2,5.2
4977,treatment,1,3,5.2
4978,treatment,1,8,9.2
4979,treatment,1,11,14.2
4980,treatment,1,2,4.2
4981,control,0,6,8
4982,treatment,1,4,5.2
4983,treatment,1,6,9.2
4984,control,0,1,4
4985,treatment,1,2,4.2
4986,control,0,5,8
4987,control,0,9,12
4988,control,0,10,11
4989,control,0,5,8
4990,treatment,1,2,5.2
4991,control,0,6,9
4992,control,0,2,3
4993,treatment,1,7,9.2
4994,treatment,1,6,8.2
4995,treatment,1,8,10.2
4996,control,0,1,3
4997,treatment,1,2,5.2
4998,control,0,5,6
4999,treatment,1,3,5.2
5000,control,0,7,9
5001,treatment,1,6,9.2
5002,control,0,4,6
5003,treatment,1,7,10.2
5004,control,0,1,4
5005,control,0,3,6
5006,treatment,1,11,12.2
5007,control,0,6,9
5008,treatment,1,2,5.2
5009,treatment,1,6,7.2
5010,treatment,1,11,14.2
5011,control,0,5,6
5012,treatment,1,4,6.2
5013,treatment,1,6,8.2
5014,control,0,9,10
5015,treatment,1,10,11.2
5016,control,0,5,6
5017,treatment,1,11,14.2
5018,treatment,1,2,5.2
5019,treatment,1,5,6.2
5020,treatment,1,8,9.2
5021,treatment,1,3,5.2
5022,treatment,1,11,13.2
5023,control,0,2,3
5024,treatment,1,4,5.2
5025,control,0,1,2
5026,control,0,10,11
5027,treatment,1,3,6.2
5028,treatment,1,2,3.2
5029,treatment,1,8,9.2
5030,control,0,10,13
5031,control,0,1,2
5032,control,0,6,8
5033,control,0,4,6
5034,control,0,10,11
5035,treatment,1,4,5.2
5036,control,0,10,11
5037,treatment,1,7,8.2
5038,control,0,10,12
5039,treatment,1,6,7.2
5040,treatment,1,2,4.2
5041,treatment,1,4,5.2
5042,control,0,9,11
5043,treatment,1,4,5.2
5044,treatment,1,5,7.2
5045,treatment,1,3,6.2
5046,treatment,1,5,7.2
5047,treatment,1,10,11.2
5048,control,0,6,8
5049,control,0,10,11
5050,treatment,1,3,6.2
5051,control,0,4,7
5052,treatment,1,8,9.2
5053,control,0,10,12
5054,control,0,4,5
5055,treatment,1,9,11.2
5056,treatment,1,11,12.2
5057,treatment,1,6,7.2
5058,treatment,1,8,11.2
5059,control,0,2,5
5060,treatment,1,5,6.2
5061,control,0,5,6
5062,control,0,10,13
5063,control,0,6,9
5064,control,0,3,4
5065,control,0,2,5
5066,treatment,1,2,4.2
5067,control,0,4,5
5068,control,0,10,12
5069,treatment,1,10,11.2
5070,treatment,1,8,10.2
5071,control,0,7,10
5072,control,0,10,13
5073,control,0,1,4
5074,control,0,10,13
5075,control,0,3,5
5076,treatment,1,5,8.2
5077,treatment,1,3,4.2
5078,treatment,1,2,4.2
5079,treatment,1,10,12.2
5080,control,0,5,7
5081,control,0,6,9
5082,treatment,1,10,12.2
5083,control,0,1,2
5084,control,0,6,7
5085,treatment,1,8,9.2
5086,control,0,4,7
5087,treatment,1,8,11.2
5088,treatment,1,9,10.2
5089,control,0,4,5
5090,treatment,1,5,7.2
5091,treatment,1,9,10.2
5092,treatment,1,8,10.2
5093,treatment,1,7,9.2
5094,treatment,1,10,12.2
5095,treatment,1,6,7.2
5096,control,0,5,7
5097,control,0,9,10
5098,control,0,10,13
5099,treatment,1,6,7.2
5100,control,0,6,9
5101,treatment,1,7,10.2
5102,control,0,8,9
5103,treatment,1,5,8.2
5104,control,0,8,11
5105,treatment,1,11,14.2
5106,treatment,1,3,5.2
5107,control,0,7,8
5108,treatment,1,4,5.2
5109,treatment,1,9,10.2
5110,control,0,1,3
5111,treatment,1,2,4.2
5112,control,0,8,9
5113,treatment,1,2,4.2
5114,control,0,3,5
5115,treatment,1,11,12.2
5116,treatment,1,6,9.2
5117,control,0,6,7
5118,treatment,1,6,7.2
5119,treatment,1,6,7.2
5120,treatment,1,9,11.2
5121,treatment,1,11,12.2
5122,treatment,1,5,6.2
5123,treatment,1,11,14.2
5124,control,0,4,5
5125,treatment,1,10,12.2
5126,control,0,9,10
5127,control,0,5,6
5128,treatment,1,5,6.2
5129,control,0,7,8
5130,control,0,9,10
5131,control,0,9,11
5132,treatment,1,4,6.2
5133,treatment,1,11,12.2
5134,treatment,1,2,4.2
5135,control,0,7,10
5136,treatment,1,2,4.2
5137,control,0,1,4
5138,treatment,1,2,5.2
5139,control,0,5,6
5140,control,0,6,9
5141,treatment,1,6,7.2
5142,treatment,1,6,8.2
5143,treatment,1,3,4.2
5144,treatment,1,2,5.2
5145,treatment,1,4,5.2
5146,treatment,1,11,14.2
5147,control,0,1,3
5148,control,0,7,9
5149,control,0,5,8
5150,control,0,9,10
5151,control,0,2,5
5152,treatment,1,3,6.2
5153,treatment,1,8,10.2
5154,control,0,2,4
5155,control,0,10,13
5156,control,0,4,7
5157,treatment,1,8,10.2
5158,control,0,4,6
5159,control,0,7,10
5160,control,0,3,5
5161,treatment,1,6,8.2
5162,treatment,1,4,5.2
5163,treatment,1,10,12.2
5164,treatment,1,4,6.2
5165,control,0,8,11
5166,control,0,3,4
5167,control,0,7,8
5168,control,0,9,10
5169,control,0,4,7
5170,treatment,1,4,6.2
5171,treatment,1,5,7.2
5172,treatment,1,9,12.2
5173,treatment,1,4,6.2
5174,treatment,1,6,9.2
5175,treatment,1,10,11.2
5176,treatment,1,4,6.2
5177,treatment,1,11,14.2
5178,control,0,1,2
5179,control,0,8,10
5180,treatment,1,10,13.2
5181,treatment,1,2,5.2
5182,control,0,6,8
5183,treatment,1,5,7.2
5184,control,0,2,4
5185,treatment,1,6,9.2
5186,control,0,7,8
5187,treatment,1,5,7.2
5188,control,0,5,6
5189,treatment,1,9,11.2
5190,control,0,9,11
5191,control,0,6,8
5192,treatment,1,6,7.2
5193,control,0,6,8
5194,treatment,1,3,6.2
5195,control,0,10,13
5196,control,0,6,7
5197,control,0,5,6
5198,treatment,1,11,14.2
5199,control,0,7,8
5200,treatment,1,9,10.2
5201,treatment,1,6,8.2
5202,control,0,1,4
5203,treatment,1,11,14.2
5204,control,0,9,11
5205,treatment,1,5,7.2
5206,treatment,1,7,8.2
5207,control,0,9,10
5208,control,0,6,8
5209,treatment,1,10,11.2
5210,treatment,1,11,13.2
5211,treatment,1,5,6.2
5212,control,0,8,11
5213,treatment,1,11,14.2
5214,treatment,1,3,6.2
5215,treatment,1,4,7.2
5216,control,0,3,6
5217,treatment,1,8,11.2
5218,control,0,5,7
5219,control,0,4,7
5220,treatment,1,7,10.2
5221,treatment,1,6,9.2
5222,treatment,1,7,9.2
5223,control,0,5,8
5224,control,0,7,10
5225,treatment,1,11,13.2
5226,control,0,9,11
5227,treatment,1,5,6.2
5228,treatment,1,2,5.2
5229,treatment,1,3,6.2
5230,treatment,1,11,13.2
5231,control,0,6,7
5232,control,0,7,8
5233,treatment,1,11,12.2
5234,treatment,1,7,10.2
5235,control,0,8,11
5236,treatment,1,2,5.2
5237,treatment,1,4,6.2
5238,control,0,9,12
5239,control,0,6,8
5240,treatment,1,3,5.2
5241,control,0,10,13
5242,treatment,1,10,12.2
5243,control,0,4,5
5244,treatment,1,2,3.2
5245,control,0,2,3
5246,treatment,1,7,10.2
5247,treatment,1,7,8.2
5248,control,0,9,12
5249,treatment,1,4,6.2
5250,treatment,1,11,14.2
5251,treatment,1,3,4.2
5252,treatment,1,9,12.2
5253,treatment,1,8,9.2
5254,treatment,1,5,6.2
5255,control,0,1,2
5256,treatment,1,2,4.2
5257,control,0,5,7
5258,treatment,1,2,3.2
5259,control,0,8,9
5260,control,0,4,7
5261,treatment,1,5,8.2
5262,treatment,1,4,5.2
5263,treatment,1,4,7.2
5264,control,0,5,6
5265,control,0,5,7
5266,treatment,1,2,3.2
5267,control,0,4,7
5268,control,0,7,9
5269,treatment,1,7,8.2
5270,treatment,1,10,12.2
5271,control,0,4,7
5272,control,0,10,11
5273,treatment,1,3,5.2
5274,treatment,1,10,11.2
5275,control,0,4,5
5276,control,0,1,3
5277,treatment,1,10,13.2
5278,control,0,1,2
5279,control,0,2,4
5280,control,0,4,6
5281,control,0,3,4
5282,treatment,1,2,5.2
5283,treatment,1,3,6.2
5284,control,0,3,5
5285,treatment,1,6,8.2
5286,control,0,3,4
5287,treatment,1,4,7.2
5288,treatment,1,6,7.2
5289,control,0,5,6
5290,treatment,1,9,10.2
5291,treatment,1,11,14.2
5292,treatment,1,7,10.2
5293,treatment,1,4,5.2
5294,treatment,1,8,10.2
5295,treatment,1,11,14.2
5296,control,0,2,3
5297,treatment,1,7,10.2
5298,treatment,1,3,4.2
5299,treatment,1,8,11.2
5300,treatment,1,11,12.2
5301,control,0,1,4
5302,treatment,1,10,11.2
5303,treatment,1,4,5.2
5304,control,0,3,4
5305,control,0,8,9
5306,control,0,6,9
5307,control,0,1,4
5308,control,0,7,8
5309,control,0,6,9
5310,control,0,5,6
5311,treatment,1,4,7.2
5312,control,0,7,8
5313,control,0,7,8
5314,control,0,5,7
5315,treatment,1,6,7.2
5316,treatment,1,9,10.2
5317,control,0,2,5
5318,treatment,1,5,6.2
5319,control,0,4,7
5320,control,0,2,5
5321,treatment,1,9,12.2
5322,treatment,1,11,13.2
5323,control,0,8,10
5324,treatment,1,6,8.2
5325,control,0,9,10
5326,treatment,1,2,4.2
5327,control,0,8,10
5328,treatment,1,2,5.2
5329,treatment,1,10,12.2
5330,control,0,6,8
5331,treatment,1,8,10.2
5332,treatment,1,10,13.2
5333,treatment,1,4,5.2
5334,control,0,9,10
5335,control,0,3,5
5336,treatment,1,10,12.2
5337,control,0,5,6
5338,treatment,1,7,8.2
5339,treatment,1,7,9.2
5340,treatment,1,4,7.2
5341,treatment,1,10,13.2
5342,control,0,7,9
5343,treatment,1,8,11.2
5344,control,0,10,11
5345,treatment,1,8,11.2
5346,treatment,1,8,9.2
5347,treatment,1,4,6.2
5348,control,0,10,11
5349,control,0,7,10
5350,control,0,6,7
5351,control,0,2,3
5352,control,0,3,5
5353,control,0,3,6
5354,treatment,1,7,10.2
5355,treatment,1,8,10.2
5356,treatment,1,4,7.2
5357,treatment,1,3,6.2
5358,control,0,1,2
5359,treatment,1,7,8.2
5360,treatment,1,4,6.2
5361,treatment,1,2,5.2
5362,control,0,10,12
5363,treatment,1,10,13.2
5364,control,0,6,9
5365,treatment,1,8,11.2
5366,control,0,1,4
5367,treatment,1,3,5.2
5368,control,0,7,8
5369,control,0,9,11
5370,control,0,3,5
5371,treatment,1,2,5.2
5372,control,0,3,6
5373,control,0,7,10
5374,control,0,7,9
5375,treatment,1,9,12.2
5376,treatment,1,6,9.2
5377,treatment,1,2,3.2
5378,control,0,4,6
5379,control,0,7,8
5380,control,0,3,4
5381,control,0,2,4
5382,control,0,3,6
5383,control,0,8,10
5384,control,0,7,8
5385,treatment,1,10,13.2
5386,treatment,1,7,9.2
5387,treatment,1,6,9.2
5388,control,0,4,6
5389,treatment,1,8,11.2
5390,control,0,5,6
5391,control,0,5,8
5392,treatment,1,9,12.2
5393,treatment,1,5,7.2
5394,control,0,10,11
5395,control,0,6,7
5396,treatment,1,4,6.2
5397,treatment,1,9,11.2
5398,treatment,1,6,9.2
5399,control,0,4,6
5400,control,0,8,11
5401,control,0,10,13
5402,treatment,1,2,5.2
5403,treatment,1,8,9.2
5404,control,0,3,6
5405,control,0,1,4
5406,control,0,1,4
5407,control,0,8,9
5408,control,0,1,2
5409,treatment,1,5,7.2
5410,treatment,1,8,9.2
5411,treatment,1,2,4.2
5412,treatment,1,2,4.2
5413,treatment,1,7,10.2
5414,control,0,6,7
5415,control,0,1,4
5416,treatment,1,3,4.2
5417,treatment,1,5,8.2
5418,control,0,3,5
5419,treatment,1,8,10.2
5420,treatment,1,8,11.2
5421,control,0,10,12
5422,control,0,6,8
5423,treatment,1,7,8.2
5424,control,0,6,8
5425,control,0,7,9
5426,treatment,1,5,6.2
5427,treatment,1,8,9.2
5428,control,0,6,8
5429,control,0,5,7
5430,control,0,4,5
5431,treatment,1,7,8.2
5432,treatment,1,7,9.2
5433,treatment,1,3,4.2
5434,control,0,10,12
5435,treatment,1,7,8.2
5436,control,0,1,3
5437,control,0,5,7
5438,control,0,9,12
5439,control,0,5,8
5440,control,0,2,4
5441,control,0,7,8
5442,treatment,1,9,10.2
5443,control,0,10,11
5444,treatment,1,6,9.2
5445,treatment,1,4,7.2
5446,control,0,7,9
5447,control,0,10,12
5448,control,0,4,6
5449,treatment,1,8,10.2
5450,control,0,6,7
5451,treatment,1,6,8.2
5452,control,0,5,6
5453,treatment,1,5,8.2
5454,treatment,1,2,5.2
5455,treatment,1,7,8.2
5456,treatment,1,2,4.2
5457,control,0,6,9
5458,control,0,3,5
5459,control,0,2,5
5460,control,0,9,11
5461,treatment,1,3,6.2
5462,control,0,3,4
5463,treatment,1,8,10.2
5464,control,0,6,9
5465,control,0,8,9
5466,control,0,5,8
5467,treatment,1,7,10.2
5468,treatment,1,6,7.2
5469,control,0,5,6
5470,control,0,3,4
5471,control,0,1,3
5472,treatment,1,2,3.2
5473,control,0,6,9
5474,treatment,1,10,13.2
5475,treatment,1,7,9.2
5476,treatment,1,10,13.2
5477,treatment,1,2,4.2
5478,control,0,4,6
5479,control,0,8,9
5480,treatment,1,7,9.2
5481,control,0,10,13
5482,treatment,1,8,9.2
5483,treatment,1,9,11.2
5484,control,0,3,5
5485,control,0,7,9
5486,control,0,3,4
5487,control,0,9,11
5488,treatment,1,8,9.2
5489,control,0,9,12
5490,treatment,1,9,12.2
5491,control,0,2,4
5492,control,0,1,4
5493,treatment,1,8,9.2
5494,treatment,1,2,3.2
5495,treatment,1,4,5.2
5496,treatment,1,6,8.2
5497,control,0,1,4
5498,treatment,1,10,12.2
5499,control,0,3,6
5500,control,0,8,9
5501,control,0,4,6
5502,control,0,7,8
5503,control,0,9,11
5504,control,0,2,3
5505,treatment,1,2,5.2
5506,control,0,5,6
5507,treatment,1,8,11.2
5508,control,0,2,4
5509,control,0,6,9
5510,treatment,1,6,8.2
5511,control,0,3,6
5512,control,0,3,6
5513,control,0,3,5
5514,treatment,1,6,8.2
5515,treatment,1,11,13.2
5516,treatment,1,4,6.2
5517,treatment,1,6,8.2
5518,control,0,9,10
5519,treatment,1,4,7.2
5520,control,0,5,7
5521,treatment,1,7,9.2
5522,control,0,1,2
5523,treatment,1,4,7.2
5524,control,0,8,9
5525,control,0,6,9
5526,treatment,1,5,8.2
5527,treatment,1,2,5.2
5528,control,0,1,2
5529,control,0,4,5
5530,treatment,1,10,13.2
5531,control,0,5,6
5532,treatment,1,8,11.2
5533,control,0,8,11
5534,treatment,1,5,7.2
5535,treatment,1,8,9.2
5536,treatment,1,6,9.2
5537,treatment,1,2,5.2
5538,treatment,1,11,13.2
5539,control,0,1,2
5540,treatment,1,9,11.2
5541,treatment,1,7,8.2
5542,treatment,1,10,13.2
5543,treatment,1,7,9.2
5544,treatment,1,10,12.2
5545,control,0,1,4
5546,treatment,1,6,7.2
5547,control,0,7,8
5548,treatment,1,9,10.2
5549,treatment,1,2,5.2
5550,control,0,9,11
5551,treatment,1,5,7.2
5552,treatment,1,3,4.2
5553,control,0,4,6
5554,control,0,8,10
5555,treatment,1,5,8.2
5556,treatment,1,4,5.2
5557,control,0,9,12
5558,treatment,1,9,11.2
5559,treatment,1,3,6.2
5560,control,0,2,3
5561,treatment,1,3,6.2
5562,treatment,1,9,10.2
5563,treatment,1,5,8.2
5564,control,0,9,12
5565,control,0,4,6
5566,control,0,9,11
5567,control,0,8,10
5568,control,0,1,4
5569,treatment,1,8,10.2
5570,treatment,1,3,5.2
5571,control,0,1,3
5572,treatment,1,5,8.2
5573,treatment,1,7,10.2
5574,control,0,4,7
5575,treatment,1,10,13.2
5576,treatment,1,4,5.2
5577,control,0,1,3
5578,treatment,1,6,7.2
5579,treatment,1,6,8.2
5580,control,0,9,11
5581,control,0,7,8
5582,treatment,1,10,11.2
5583,treatment,1,5,8.2
5584,control,0,9,11
5585,treatment,1,6,9.2
5586,control,0,7,10
5587,treatment,1,8,11.2
5588,treatment,1,2,4.2
5589,treatment,1,10,12.2
5590,control,0,2,5
5591,control,0,7,10
5592,control,0,2,5
5593,treatment,1,6,7.2
5594,control,0,3,5
5595,treatment,1,8,11.2
5596,control,0,6,9
5597,treatment,1,7,9.2
5598,treatment,1,6,8.2
5599,control,0,8,10
5600,control,0,8,10
5601,control,0,1,4
5602,control,0,3,4
5603,treatment,1,2,3.2
5604,treatment,1,6,7.2
5605,treatment,1,10,13.2
5606,control,0,5,8
5607,control,0,7,10
5608,control,0,2,4
5609,treatment,1,8,9.2
5610,treatment,1,3,6.2
5611,control,0,4,7
5612,control,0,10,11
5613,treatment,1,11,14.2
5614,treatment,1,5,6.2
5615,control,0,3,6
5616,control,0,4,7
5617,treatment,1,7,9.2
5618,treatment,1,7,10.2
5619,treatment,1,10,12.2
5620,control,0,10,13
5621,treatment,1,11,14.2
5622,control,0,1,2
5623,treatment,1,3,6.2
5624,treatment,1,4,5.2
5625,treatment,1,11,14.2
5626,control,0,4,5
5627,treatment,1,3,4.2
5628,treatment,1,2,4.2
5629,treatment,1,11,13.2
5630,treatment,1,7,9.2
5631,control,0,10,12
5632,control,0,5,7
5633,control,0,3,4
5634,control,0,6,8
5635,control,0,6,8
5636,control,0,2,3
5637,treatment,1,8,9.2
5638,control,0,9,10
5639,control,0,9,12
5640,control,0,1,2
5641,control,0,8,10
5642,treatment,1,6,9.2
5643,treatment,1,2,4.2
5644,control,0,9,10
5645,control,0,2,3
5646,control,0,8,9
5647,control,0,10,12
5648,treatment,1,7,10.2
5649,control,0,9,12
5650,control,0,10,12
5651,treatment,1,5,7.2
5652,treatment,1,7,8.2
5653,treatment,1,10,11.2
5654,treatment,1,6,8.2
5655,treatment,1,5,7.2
5656,control,0,7,8
5657,treatment,1,8,9.2
5658,treatment,1,3,4.2
5659,treatment,1,5,8.2
5660,control,0,4,5
5661,treatment,1,6,8.2
5662,control,0,8,11
5663,control,0,7,9
5664,control,0,3,6
5665,treatment,1,9,11.2
5666,treatment,1,4,5.2
5667,control,0,7,10
5668,treatment,1,9,10.2
5669,control,0,4,5
5670,control,0,5,8
5671,control,0,4,7
5672,treatment,1,4,7.2
5673,control,0,10,12
5674,treatment,1,3,5.2
5675,control,0,2,5
5676,treatment,1,4,5.2
5677,treatment,1,9,10.2
5678,control,0,2,5
5679,control,0,6,7
5680,treatment,1,8,11.2
5681,treatment,1,6,7.2
5682,treatment,1,5,7.2
5683,treatment,1,3,6.2
5684,control,0,6,7
5685,treatment,1,7,10.2
5686,control,0,6,8
5687,control,0,7,10
5688,treatment,1,5,7.2
5689,control,0,4,6
5690,treatment,1,4,6.2
5691,control,0,1,2
5692,treatment,1,4,7.2
5693,treatment,1,4,7.2
5694,treatment,1,7,9.2
5695,treatment,1,4,6.2
5696,treatment,1,4,7.2
5697,treatment,1,7,10.2
5698,treatment,1,9,11.2
5699,treatment,1,10,13.2
5700,control,0,5,8
5701,control,0,5,7
5702,treatment,1,4,5.2
5703,control,0,4,5
5704,treatment,1,8,10.2
5705,treatment,1,10,11.2
5706,treatment,1,7,10.2
5707,control,0,4,6
5708,control,0,8,11
5709,treatment,1,6,9.2
5710,control,0,7,10
5711,treatment,1,6,7.2
5712,control,0,9,10
5713,treatment,1,4,6.2
5714,treatment,1,4,7.2
5715,control,0,10,11
5716,treatment,1,9,12.2
5717,treatment,1,5,7.2
5718,treatment,1,5,8.2
5719,treatment,1,8,9.2
5720,treatment,1,4,6.2
5721,control,0,2,3
5722,control,0,10,12
5723,control,0,1,4
5724,control,0,5,7
5725,treatment,1,4,6.2
5726,treatment,1,9,12.2
5727,treatment,1,2,5.2
5728,control,0,6,9
5729,treatment,1,3,6.2
5730,control,0,3,6
5731,control,0,8,9
5732,treatment,1,5,8.2
5733,control,0,6,9
5734,control,0,9,12
5735,control,0,6,8
5736,control,0,2,5
5737,treatment,1,3,6.2
5738,treatment,1,6,9.2
5739,control,0,9,11
5740,treatment,1,3,6.2
5741,control,0,9,10
5742,control,0,8,9
5743,treatment,1,10,11.2
5744,treatment,1,7,9.2
5745,control,0,2,5
5746,treatment,1,11,14.2
5747,treatment,1,8,10.2
5748,control,0,8,11
5749,control,0,2,3
5750,control,0,5,7
5751,control,0,3,4
5752,control,0,7,8
5753,control,0,9,10
5754,treatment,1,2,4.2
5755,treatment,1,7,8.2
5756,treatment,1,5,6.2
5757,treatment,1,3,6.2
5758,control,0,4,5
5759,control,0,7,9
5760,treatment,1,3,5.2
5761,treatment,1,8,11.2
5762,treatment,1,2,3.2
5763,treatment,1,4,7.2
5764,treatment,1,4,5.2
5765,treatment,1,5,6.2
5766,treatment,1,11,13.2
5767,control,0,10,11
5768,treatment,1,7,8.2
5769,treatment,1,8,10.2
5770,control,0,6,7
5771,treatment,1,10,13.2
5772,treatment,1,4,5.2
5773,control,0,3,5
5774,treatment,1,8,9.2
5775,control,0,1,4
5776,control,0,10,11
5777,control,0,10,12
5778,treatment,1,2,5.2
5779,treatment,1,4,7.2
5780,treatment,1,9,11.2
5781,treatment,1,2,4.2
5782,control,0,4,5
5783,control,0,8,9
5784,control,0,2,5
5785,control,0,5,7
5786,treatment,1,3,6.2
5787,treatment,1,4,6.2
5788,treatment,1,8,9.2
5789,control,0,2,4
5790,treatment,1,9,11.2
5791,treatment,1,10,11.2
5792,treatment,1,3,4.2
5793,treatment,1,7,10.2
5794,treatment,1,4,7.2
5795,treatment,1,5,7.2
5796,treatment,1,4,5.2
5797,treatment,1,7,10.2
5798,control,0,4,5
5799,control,0,2,4
5800,control,0,6,9
5801,control,0,1,4
5802,treatment,1,7,8.2
5803,treatment,1,7,9.2
5804,treatment,1,5,6.2
5805,control,0,6,8
5806,control,0,10,11
5807,treatment,1,3,6.2
5808,treatment,1,8,9.2
5809,control,0,3,4
5810,control,0,8,11
5811,control,0,4,6
5812,treatment,1,4,6.2
5813,control,0,3,6
5814,treatment,1,7,8.2
5815,control,0,4,7
5816,control,0,3,4
5817,control,0,6,9
5818,control,0,8,11
5819,control,0,9,10
5820,control,0,4,7
5821,control,0,8,11
5822,control,0,8,10
5823,treatment,1,9,11.2
5824,treatment,1,8,11.2
5825,control,0,6,8
5826,treatment,1,11,14.2
5827,control,0,4,7
5828,treatment,1,11,14.2
5829,control,0,6,7
5830,control,0,9,10
5831,control,0,7,10
5832,control,0,9,10
5833,treatment,1,5,7.2
5834,treatment,1,3,4.2
5835,treatment,1,6,9.2
5836,treatment,1,2,3.2
5837,control,0,5,7
5838,control,0,5,7
5839,control,0,7,9
5840,control,0,9,12
5841,treatment,1,2,5.2
5842,control,0,2,4
5843,control,0,4,5
5844,control,0,7,10
5845,control,0,2,4
5846,control,0,6,8
5847,treatment,1,2,5.2
5848,control,0,10,13
5849,control,0,8,9
5850,treatment,1,5,8.2
5851,control,0,6,7
5852,control,0,8,10
5853,treatment,1,9,10.2
5854,control,0,7,8
5855,treatment,1,2,3.2
5856,control,0,6,7
5857,control,0,3,6
5858,treatment,1,11,13.2
5859,control,0,5,7
5860,control,0,1,2
5861,control,0,7,9
5862,treatment,1,6,7.2
5863,treatment,1,7,10.2
5864,control,0,10,13
5865,treatment,1,3,4.2
5866,treatment,1,10,12.2
5867,treatment,1,9,10.2
5868,treatment,1,10,12.2
5869,treatment,1,6,8.2
5870,treatment,1,4,6.2
5871,treatment,1,3,5.2
5872,control,0,10,12
5873,control,0,7,9
5874,control,0,8,11
5875,control,0,2,5
5876,control,0,2,4
5877,treatment,1,6,8.2
5878,control,0,6,7
5879,control,0,6,9
5880,control,0,10,13
5881,control,0,7,9
5882,control,0,1,2
5883,treatment,1,6,9.2
5884,treatment,1,11,13.2
5885,treatment,1,11,14.2
5886,treatment,1,8,10.2
5887,control,0,6,7
5888,treatment,1,5,7.2
5889,treatment,1,11,14.2
5890,treatment,1,11,14.2
5891,treatment,1,5,6.2
5892,control,0,7,9
5893,control,0,7,9
5894,treatment,1,9,10.2
5895,treatment,1,7,10.2
5896,control,0,4,6
5897,control,0,6,7
5898,treatment,1,11,12.2
5899,treatment,1,10,13.2
5900,treatment,1,2,4.2
5901,treatment,1,9,11.2
5902,treatment,1,3,4.2
5903,treatment,1,2,3.2
5904,treatment,1,6,7.2
5905,treatment,1,5,7.2
5906,treatment,1,3,4.2
5907,control,0,4,5
5908,treatment,1,9,11.2
5909,treatment,1,2,4.2
5910,control,0,10,12
5911,control,0,3,5
5912,treatment,1,9,12.2
5913,control,0,4,6
5914,treatment,1,6,9.2
5915,treatment,1,3,6.2
5916,treatment,1,8,11.2
5917,control,0,2,5
5918,treatment,1,10,11.2
5919,treatment,1,11,12.2
5920,treatment,1,5,7.2
5921,control,0,5,6
5922,treatment,1,8,11.2
5923,treatment,1,6,9.2
5924,treatment,1,10,13.2
5925,treatment,1,7,9.2
5926,control,0,5,7
5927,control,0,5,6
5928,treatment,1,4,6.2
5929,control,0,8,11
5930,treatment,1,6,9.2
5931,control,0,3,4
5932,control,0,4,7
5933,control,0,9,10
5934,control,0,1,4
5935,treatment,1,8,11.2
5936,treatment,1,10,13.2
5937,control,0,8,11
5938,treatment,1,9,10.2
5939,control,0,8,9
5940,control,0,6,9
5941,control,0,7,8
5942,control,0,9,11
5943,treatment,1,3,6.2
5944,treatment,1,5,7.2
5945,treatment,1,6,8.2
5946,treatment,1,9,12.2
5947,control,0,3,4
5948,treatment,1,2,5.2
5949,control,0,10,11
5950,control,0,1,4
5951,treatment,1,10,11.2
5952,treatment,1,2,5.2
5953,treatment,1,6,8.2
5954,control,0,7,8
5955,control,0,6,7
5956,control,0,4,5
5957,control,0,3,5
5958,control,0,5,8
5959,control,0,9,12
5960,treatment,1,9,12.2
5961,treatment,1,9,12.2
5962,control,0,3,4
5963,control,0,1,2
5964,control,0,8,10
5965,control,0,7,8
5966,treatment,1,5,8.2
5967,treatment,1,10,11.2
5968,control,0,4,7
5969,treatment,1,11,14.2
5970,control,0,10,12
5971,control,0,3,4
5972,treatment,1,3,4.2
5973,treatment,1,6,8.2
5974,control,0,7,8
5975,treatment,1,4,5.2
5976,control,0,7,8
5977,treatment,1,2,5.2
5978,treatment,1,4,6.2
5979,treatment,1,5,7.2
5980,control,0,1,2
5981,control,0,2,3
5982,treatment,1,11,12.2
5983,treatment,1,8,9.2
5984,treatment,1,4,5.2
5985,treatment,1,3,6.2
5986,control,0,3,4
5987,treatment,1,6,9.2
5988,treatment,1,5,8.2
5989,treatment,1,6,7.2
5990,treatment,1,7,10.2
5991,control,0,8,9
5992,control,0,6,7
5993,control,0,9,12
5994,control,0,6,9
5995,treatment,1,11,14.2
5996,control,0,1,4
